INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 2 to less than 5 yrs,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 5 yrs up to 10 yrs,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Exact 5 yrs,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,1 year exact,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 1 yr to 2 years,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 2 to less than 5 yrs,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 5 yrs up to 10 yrs,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Exact 5 yrs,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,1 year exact,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 1 yr to 2 years,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 2 to less than 5 yrs,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 5 yrs up to 10 yrs,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Exact 5 yrs,Rs. 5 cr to Less than Rs. 25cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,1 year exact,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 1 yr to 2 years,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 2 to less than 5 yrs,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Above 5 yrs up to 10 yrs,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.5,Exact 5 yrs,Rs. 50 cr to Less than Rs. 100cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,5.5,7 days to 45 days,Less than Rs. 1 cr,General,Taxable
State Bank of Hyderabad,Public Sector / Nationalized Banks,5.5,7 days to 45 days,Upto Rs. 1 cr,General,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,5.5,7 days to 45 days,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,1 year to 375 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,121 days to 149 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,150 days to 164 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,165 days to 180 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,18 Months to 2 years,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,181 days to 210 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,2 years to 3 years,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,211 days to 226 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,227 days to 269 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,270 days to 345 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,3 years to 4 years,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,346 days to 364 days,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,376 days to 390 day,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,391 days to less than 18 months,Rs. 1 cr to Less than 2 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,5.5,4 years to 5 years,Rs. 1 cr to Less than 2 cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,5.5,7 days to 45 days,Less than Rs. 1cr,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,5.5,91 days to 180 days,Upto Rs. 15 lakh,General,Taxable
Thane Janata Sahakari Bank,Cooperative Banks,5.5,91 days to 180 days,Upto Rs. 15 lakh,Senior Citizen,Taxable
Union Bank of India,Public Sector / Nationalized Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5.5,46 days to 60 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5.5,61 days to 90 days,less than Rs. 1 cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,5.5,30 days to 45 days,less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 1 cr to 5 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 100 cr to 200 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 200 cr and above,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 25 cr to 50 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 5 cr to 25 crs,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 50 cr to 75 cr,General,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,5.5,1Year,Rs. 75 cr to 100 cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,5.5,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.4,7 days to 10 days,Rs 2 cr less than 3 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,5.35,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,5.35,46 days to 90 days,Rs. 1 cr to 5 crs,General,Taxable
Citi Bank,Foreign Banks,5.35,7 days to 10 days,Rs 3 cr less than 5 cr,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,1 year to less than 2 years,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,180 days to 269 days,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,2 years to less than 3 years,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,270 days to less than 1 year,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,3 Years to less than 5 Years,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,5 years to 10 years,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,91 days to 179 days,Rs. 1 cr and above upto 10 crs,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,1 year to less than 2 years,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,180 days to 269 days,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,2 years to less than 3 years,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,270 days to less than 1 year,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,3 Years to less than 5 Years,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,5 years to 10 years,Rs. 10 cr and above,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,5.31,91 days to 179 days,Rs. 10 cr and above,General,Taxable
Citi Bank,Foreign Banks,5.3,1096 days and above,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,181 days to 270 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,271 days to 364 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,365 days to 400 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,401 days to 540 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,541 days to 731 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,732 days to 1095 days,Rs 1 cr less than 2 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,1096 days and above,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,181 days to 270 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,271 days to 364 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,365 days to 400 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,401 days to 540 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,541 days to 731 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,732 days to 1095 days,Rs 2 cr less than 3 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,1096 days and above,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,181 days to 270 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,271 days to 364 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,365 days to 400 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,401 days to 540 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,541 days to 731 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,732 days to 1095 days,Rs 3 cr less than 5 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,1096 days and above,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,181 days to 270 days,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,271 days to 364 days,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,365 days to 400 days,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,401 days to 540 days,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,541 days to 731 days,Rs 5 cr less than 10 cr,General,Taxable
Citi Bank,Foreign Banks,5.3,732 days to 1095 days,Rs 5 cr less than 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,1 year to 2 years,Above Rs. 10 cr to less than Rs. 50 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,Above 2 years to 3 years,Above Rs. 10 cr to less than Rs. 50 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,1 year to 2 years,Above Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,Above 2 years to 3 years,Above Rs. 50 cr to less than Rs. 100 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,1 year to 2 years,Rs. 1 cr to less than Rs. 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,Above 2 years to 3 years,Rs. 1 cr to less than Rs. 10 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,1 year to 2 years,Rs. 100 cr and Above,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,5.25,Above 2 years to 3 years,Rs. 100 cr and Above,General,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,5.25,30 days to 90 days,Rs. 15 lakh and above,Senior Citizen,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,5.25,46 days to 90 days,Less than Rs. 1 cr,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,5.25,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,Less than Rs. 1cr,General,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,5.25,46 days to 60 days,Less than Rs. 1cr,Senior Citizen,Taxable
Canara Bank,Public Sector / Nationalized Banks,5.25,61 days to 90 days,Less than Rs. 1cr,Senior Citizen,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,15 days to 30 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,180 days to 270 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,271 days to 364 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,31 days to 45 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,46 days to 59 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,60 days to 90 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,91 days to 179 days,Less than Rs. 10cr,General,Taxable
Central Bank of India,Public Sector / Nationalized Banks,5.25,7 days to 14 days,Less than Rs. 1cr,Senior Citizen,Taxable
Citi Bank,Foreign Banks,5.25,181 days to 270 days,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.25,271 days to 364 days,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.25,365 days to 400 days,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.25,401 days to 540 days,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.25,541 days to 731 days,Less than Rs. 1 cr,General,Taxable
Citi Bank,Foreign Banks,5.25,732 days to 1095 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,5.25,60 days to 89 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,5.25,90 days to 99 days,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,5.25,60 days to 89 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,6 months 1 day to 6 months 3 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,6 months 5 days to 9 months,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,9 mnths 1 day 9 months 3 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,9 mnths 17 day- less 1 Year,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,9 months 16 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,9 months 5 days - 9 months 15 days,Rs. 1 cr to up to 5 crs,General,Taxable
HDFC Bank,Indian Private Sector Banks,5.25,91 days to less than 6 months,Rs. 1 cr to up to 5 crs,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.25,121 days to 180 days,less then Rs. 1cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.25,91 days to 120 days,less then Rs. 1cr,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.25,181 days to less than 9 months,Rs. 1 cr to 5 crs,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.25,2 year to less than 3 years,Rs. 1 cr to 5 crs,General,Taxable
Indian Bank,Public Sector / Nationalized Banks,5.25,3 years and above,Rs. 1 cr to 5 crs,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,5.25,61 days to 90 days,less than Rs. 1cr,General,Taxable
IDBI Bank,Public Sector / Nationalized Banks,5.25,61 days to 90 days,less than Rs. 1cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.25,1 years to less than 3 years,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,5.25,3 years to less than 5 years,Rs. 1 cr to less than Rs. 5 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,5.25,181 days to 270 days,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,5.25,91 days to 180 days,Rs. 1 cr to less than Rs. 5 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,5.25,30 days to 90 days,Less than Rs. 15 lakh,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.25,46 days to 60 days,Rs. 1 cr and above to Less than Rs. 5 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.25,31 days to 45 days,Rs. 10 cr and above to Less than Rs. 25 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.25,31 days to 45 days,Rs. 25 cr and above,General,Taxable
Kotak Bank,Indian Private Sector Banks,5.25,31 days to 45 days,Rs. 5 cr and above to Less than Rs. 10 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,5.25,30 days to 45 days,Less than Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,5.25,15 days to 45 days,Less than lakh to Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,1 crore and above but below Rs. 3 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,1 crore and above but below Rs. 3 cr,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,3 crore and above,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,3 crore and above,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,Less than Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,5.25,91 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,15 days to 30 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,31 days to 45 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,46 days to 60 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,7 days to 14 days,Less than Rs. 1cr,Senior Citizen,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,121 days to 179 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,180 days to 269 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,270 days to less than 1 yrs,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,61 days to 90 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,91 days to 120 days,Rs. 1 cr to Less than Rs. 5cr,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,121 days to 179 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,180 days to 269 days,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,270 days to less than 1 yrs,Rs. 100 cr and above,General,Taxable
Syndicate Bank,Public Sector / Nationalized Banks,5.25,121 days to 179 days,Rs. 25 cr to Less than Rs. 50cr,General,Taxable
